commit	stage	seq_len	latency_ms	context	max_batch	tok_sec	ttft_ms	ms_per_tok	memory_mb	mfu_or_bw_util	bottleneck	accuracy_pct	status	description
c61ca5e	prefill	32	-	-	-	390.1	82	-	0	0.29	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	64	-	-	-	604.5	106	-	0	0.45	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	128	-	-	-	773.0	166	-	0	0.57	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	256	-	-	-	908.8	282	-	0	0.67	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	512	-	-	-	1082.5	473	-	0	0.80	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	1024	-	-	-	1125.7	910	-	0	0.83	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	2048	-	-	-	1150.0	1781	-	0	0.85	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	4096	-	-	-	1154.3	3548	-	0	0.86	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	8192	-	-	-	1133.9	7224	-	0	0.84	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	prefill	16384	-	-	-	1055.3	15525	-	0	0.78	COMPUTE_BOUND	100.0	keep	baseline run
c61ca5e	decode	-	20	256	0	0.0	-	20.4	2417	0.00	CONSTRAINT_EXCEEDED	100.0	keep	baseline run
c61ca5e	decode	-	30	256	1	49.0	-	20.4	2417	12.10	MEMORY_BOUND	100.0	keep	baseline run
c61ca5e	decode	-	50	256	1	49.0	-	20.4	2417	12.11	MEMORY_BOUND	100.0	keep	baseline run
c61ca5e	decode	-	100	256	1	49.2	-	20.3	2417	12.15	MEMORY_BOUND	100.0	keep	baseline run
c61ca5e	decode	-	none	256	1	49.2	-	20.3	2417	12.14	MEMORY_BOUND	100.0	keep	baseline run
c61ca5e	decode	-	20	1024	0	0.0	-	20.5	2417	0.00	CONSTRAINT_EXCEEDED	100.0	keep	baseline run
c61ca5e	decode	-	30	1024	1	48.7	-	20.5	2417	12.04	MEMORY_BOUND	100.0	keep	baseline run
c61ca5e	decode	-	50	1024	1	48.8	-	20.5	2417	12.05	MEMORY_BOUND	100.0	keep	baseline run
c61ca5e	decode	-	100	1024	1	48.7	-	20.5	2417	12.04	MEMORY_BOUND	100.0	keep	baseline run
c61ca5e	decode	-	none	1024	1	48.6	-	20.6	2417	12.02	MEMORY_BOUND	100.0	keep	baseline run
f66980c	prefill	32	-	-	-	411.8	78	-	-0	0.31	COMPUTE_BOUND	100.0	keep	baseline run
f66980c	prefill	64	-	-	-	590.2	108	-	0	0.44	COMPUTE_BOUND	100.0	keep	baseline run
f66980c	prefill	128	-	-	-	769.8	166	-	0	0.57	COMPUTE_BOUND	100.0	keep	baseline run
f66980c	prefill	256	-	-	-	910.8	281	-	0	0.67	COMPUTE_BOUND	100.0	keep	baseline run
f66980c	prefill	512	-	-	-	1078.6	475	-	0	0.80	COMPUTE_BOUND	100.0	keep	baseline run
f66980c	prefill	1024	-	-	-	1123.7	911	-	0	0.83	COMPUTE_BOUND	100.0	keep	baseline run
f66980c	prefill	2048	-	-	-	1149.7	1781	-	0	0.85	COMPUTE_BOUND	100.0	keep	baseline run
f66980c	prefill	4096	-	-	-	1137.4	3601	-	0	0.84	COMPUTE_BOUND	100.0	keep	baseline run
f66980c	prefill	8192	-	-	-	1117.7	7330	-	0	0.83	COMPUTE_BOUND	100.0	keep	baseline run
